index,trading_date,total_turnover,basis_spread,volume,low,close,open,limit_up,limit_down,open_interest,high
2014-12-03 13:45:00,2014-12-03,8472419200.0,,176790.0,476.752,480.799,477.106,498.254,460.655,1608200.0,481.806
2014-12-03 14:00:00,2014-12-03,5285486000.0,,110214.0,479.235,480.591,480.888,498.248,460.661,1600856.0,482.528
2014-12-03 14:15:00,2014-12-03,3044610800.0,,63402.0,478.625,479.843,480.591,498.234,460.627,1585836.0,481.8
2014-12-03 14:30:00,2014-12-03,558112200.0,,11646.0,479.555,480.768,480.483,498.196,460.624,1581590.0,480.839
2014-12-03 14:45:00,2014-12-03,3937678400.0,,81962.0,479.755,481.395,480.835,498.183,460.612,1573470.0,482.472
2014-12-03 15:00:00,2014-12-03,6681044600.0,,138876.0,478.905,482.699,481.69,498.187,460.616,1549962.0,484.262
2014-12-04 09:15:00,2014-12-04,12412396400.0,,256296.0,481.63,484.954,481.77,496.343,458.729,1586702.0,487.269
2014-12-04 09:30:00,2014-12-04,5632342000.0,,116098.0,484.239,487.169,484.886,496.311,458.726,1591818.0,488.099
2014-12-04 09:45:00,2014-12-04,3845538400.0,,79082.0,485.888,486.976,487.885,496.327,458.73,1586840.0,487.965
2014-12-04 10:00:00,2014-12-04,7176496800.0,,146860.0,486.263,489.724,486.977,496.334,458.701,1592624.0,490.072
2014-12-04 10:15:00,2014-12-04,15784233400.0,,320462.0,488.34,494.651,489.992,496.282,458.561,1576280.0,495.181
2014-12-04 10:45:00,2014-12-04,17726943000.0,,357190.0,492.579,493.58,494.657,496.133,458.322,1581082.0,495.915
2014-12-04 11:00:00,2014-12-04,13149970800.0,,268114.0,487.391,487.729,493.949,495.871,458.273,1564256.0,494.516
2014-12-04 11:15:00,2014-12-04,5454190200.0,,111812.0,486.726,488.669,488.668,495.851,458.289,1554658.0,489.614
2014-12-04 11:30:00,2014-12-04,2103921600.0,,43038.0,487.653,488.313,488.61,495.841,458.276,1551664.0,489.328
2014-12-04 13:45:00,2014-12-04,4592394400.0,,93828.0,488.655,490.249,488.655,495.832,458.261,1560086.0,491.647
2014-12-04 14:00:00,2014-12-04,1967647200.0,,40176.0,488.921,491.246,490.587,495.818,458.258,1546336.0,491.252
2014-12-04 14:15:00,2014-12-04,2732042000.0,,55602.0,490.589,492.199,491.249,495.822,458.265,1557894.0,492.532
2014-12-04 14:30:00,2014-12-04,1590470600.0,,32404.0,490.916,491.861,492.534,495.82,458.252,1557834.0,492.803
2014-12-04 14:45:00,2014-12-04,4753398600.0,,96170.0,490.571,493.429,491.571,495.829,458.214,1544834.0,494.768
2014-12-04 15:00:00,2014-12-04,6302469000.0,,127496.0,491.492,493.415,494.429,495.778,458.2,1529276.0,495.08
