index,trading_date,total_turnover,low,limit_down,limit_up,high,basis_spread,volume,close,open,open_interest
2015-03-25 15:00:00,2015-03-25,2501896900.0,12925.0,12310.0,13885.0,12980.0,,19308.0,12930.0,12980.0,225884.0
2015-03-25 21:15:00,2015-03-26,3950621600.0,12950.0,12200.0,13755.0,13045.0,,30386.0,13040.0,12980.0,231292.0
2015-03-25 21:30:00,2015-03-26,2476950800.0,13030.0,12200.0,13755.0,13065.0,,18990.0,13050.0,13040.0,233828.0
2015-03-25 21:45:00,2015-03-26,1123772100.0,13020.0,12200.0,13755.0,13050.0,,8622.0,13030.0,13050.0,234150.0
2015-03-25 22:00:00,2015-03-26,681080300.0,13025.0,12200.0,13755.0,13045.0,,5224.0,13040.0,13030.0,234482.0
2015-03-25 22:15:00,2015-03-26,824782900.0,13030.0,12200.0,13755.0,13055.0,,6324.0,13035.0,13045.0,234684.0
2015-03-25 22:30:00,2015-03-26,822464200.0,13030.0,12200.0,13755.0,13060.0,,6304.0,13045.0,13035.0,234988.0
2015-03-25 22:45:00,2015-03-26,2609119100.0,12970.0,12200.0,13755.0,13045.0,,20070.0,12985.0,13045.0,233092.0
2015-03-25 23:00:00,2015-03-26,1363298300.0,12960.0,12200.0,13755.0,13005.0,,10500.0,13000.0,12990.0,230538.0
2015-03-25 23:15:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-25 23:30:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-25 23:45:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 00:00:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 00:15:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 00:30:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 00:45:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 01:00:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 01:15:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 01:30:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 01:45:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 02:00:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 02:15:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 02:30:00,2015-03-26,0.0,13000.0,12200.0,13755.0,13000.0,,0.0,13000.0,13000.0,230538.0
2015-03-26 09:15:00,2015-03-26,5916767300.0,12920.0,12200.0,13755.0,13050.0,,45602.0,12940.0,13030.0,238010.0
2015-03-26 09:30:00,2015-03-26,1927468100.0,12920.0,12200.0,13755.0,12965.0,,14892.0,12930.0,12935.0,239938.0
2015-03-26 09:45:00,2015-03-26,1954384800.0,12915.0,12200.0,13755.0,12960.0,,15106.0,12935.0,12925.0,240470.0
2015-03-26 10:00:00,2015-03-26,2418468200.0,12925.0,12200.0,13755.0,12985.0,,18658.0,12980.0,12930.0,239894.0
2015-03-26 10:15:00,2015-03-26,2817509300.0,12945.0,12200.0,13755.0,13035.0,,21676.0,13020.0,12980.0,239268.0
2015-03-26 10:45:00,2015-03-26,4664638900.0,13020.0,12200.0,13755.0,13080.0,,35748.0,13045.0,13025.0,238504.0
