,open,close,high,low,volume,money
2016-02-29 10:59:00,7.79,7.71,7.79,7.69,9505714.0,73612292.0
2016-02-29 11:29:00,7.71,7.75,7.8,7.71,4689352.0,36396487.0
2016-02-29 13:29:00,7.75,7.71,7.77,7.68,7166164.0,55252039.0
2016-02-29 13:59:00,7.71,7.7,7.72,7.65,6951434.0,53375522.0
2016-02-29 14:29:00,7.71,7.66,7.71,7.64,8696337.0,66734244.0
2016-02-29 14:59:00,7.66,7.75,7.76,7.62,10627799.0,81759771.0
2016-03-01 09:59:00,7.74,7.83,7.84,7.74,12556299.0,97818760.0
2016-03-01 10:29:00,7.83,7.81,7.83,7.79,3861688.0,30192848.0
2016-03-01 10:59:00,7.81,7.78,7.83,7.78,3962876.0,30937255.0
2016-03-01 11:29:00,7.78,7.81,7.83,7.78,4135228.0,32291420.0
2016-03-01 13:29:00,7.8,7.79,7.82,7.78,2717363.0,21184672.0
2016-03-01 13:59:00,7.78,7.83,7.83,7.78,5248045.0,40991530.0
2016-03-01 14:29:00,7.83,7.85,7.88,7.81,8200531.0,64316912.0
2016-03-01 14:59:00,7.85,7.84,7.91,7.83,6507023.0,51210156.0
2016-03-02 09:59:00,7.85,7.94,7.95,7.85,9644213.0,76223642.0
2016-03-02 10:29:00,7.93,7.97,7.98,7.91,10929140.0,86959355.0
2016-03-02 10:59:00,7.97,8.0,8.0,7.95,5895330.0,46995496.0
2016-03-02 11:29:00,8.0,8.08,8.09,7.96,11417284.0,91702411.0
2016-03-02 13:29:00,8.08,8.09,8.1,8.07,8692259.0,70298456.0
2016-03-02 13:59:00,8.09,8.13,8.13,8.08,9486811.0,76879431.0
2016-03-02 14:29:00,8.12,8.15,8.16,8.07,11709728.0,95112677.0
2016-03-02 14:59:00,8.15,8.17,8.19,8.14,15568578.0,127228921.0
2016-03-03 09:59:00,8.17,8.22,8.24,8.14,17260969.0,141270923.0
2016-03-03 10:29:00,8.22,8.19,8.23,8.17,11367373.0,93247888.0
2016-03-03 10:59:00,8.19,8.17,8.21,8.14,8779612.0,71808306.0
2016-03-03 11:29:00,8.17,8.19,8.21,8.13,7938480.0,64828159.0
2016-03-03 13:29:00,8.19,8.19,8.2,8.16,3202922.0,26212299.0
2016-03-03 13:59:00,8.19,8.18,8.2,8.16,4392830.0,35896297.0
2016-03-03 14:29:00,8.18,8.18,8.19,8.14,6266102.0,51179401.0
2016-03-03 14:59:00,8.18,8.18,8.19,8.15,7899436.0,64548110.0
2016-03-04 09:59:00,8.18,8.18,8.2,8.16,11643508.0,95297001.0
2016-03-04 10:29:00,8.18,8.2,8.21,8.17,4911125.0,40213625.0
2016-03-04 10:59:00,8.19,8.23,8.27,8.19,12023177.0,98890952.0
2016-03-04 11:29:00,8.23,8.43,8.43,8.22,41262844.0,343963177.0
2016-03-04 13:29:00,8.43,8.47,8.5,8.36,56789041.0,478786944.0
2016-03-04 13:59:00,8.48,8.45,8.48,8.44,18030686.0,152649942.0
2016-03-04 14:29:00,8.45,8.41,8.46,8.41,9831889.0,82858612.0
2016-03-04 14:59:00,8.41,8.42,8.46,8.39,16707588.0,140645356.0
2016-03-07 09:59:00,8.42,8.42,8.49,8.38,25134214.0,211927907.0
2016-03-07 10:29:00,8.41,8.44,8.48,8.4,11680075.0,98477975.0
2016-03-07 10:59:00,8.44,8.4,8.46,8.4,8096747.0,68262455.0
2016-03-07 11:29:00,8.41,8.44,8.45,8.37,7499134.0,63037872.0
2016-03-07 13:29:00,8.45,8.4,8.45,8.39,4658217.0,39216050.0
2016-03-07 13:59:00,8.41,8.37,8.42,8.34,5392229.0,45194089.0
2016-03-07 14:29:00,8.36,8.35,8.4,8.34,6378905.0,53328133.0
2016-03-07 14:59:00,8.35,8.36,8.38,8.34,6574605.0,54963160.0
2016-03-08 09:59:00,8.37,8.15,8.39,8.13,25055141.0,205721931.0
2016-03-08 10:29:00,8.14,8.14,8.17,8.12,12266200.0,99900983.0
2016-03-08 10:59:00,8.15,8.15,8.15,8.05,15490988.0,125470973.0
2016-03-08 11:29:00,8.15,8.22,8.22,8.13,6831839.0,55886307.0
2016-03-08 13:29:00,8.22,8.22,8.24,8.19,3591112.0,29492668.0
2016-03-08 13:59:00,8.22,8.24,8.26,8.17,4510948.0,37096855.0
2016-03-08 14:29:00,8.24,8.25,8.26,8.21,2690309.0,22157773.0
